CustomerKey;Gender;Name        ;City    ;State Code;State       ;Zip Code;Country    ;Continent;Birthday
845621     ;Female;Aagje Maring;Den Haag;ZH        ;Zuid-Holland;        ;Netherlands;Europe   ;12/7/1958
1063458;Female;Aaliyah Hill;TYE GREEN;Braintree;Braintree;;United Kingdom;Europe;12/7/1980
1116892;Female;Aaliyah Potts;CHEBSEY;Staffordshire;Staffordshire;;United Kingdom;Europe;12/10/1982
1170694;Female;Aaliyah Richards;Stockton;Rugby;Rugby;;United Kingdom;Europe;3/10/1969
1020703;Female;Aaliyah Wong;PENCRAIG;Shropshire;Shropshire;;United Kingdom;Europe;2/6/1980
1938588;Female;Aamu Sutinen;Westland;MI;Michigan;48185;United States;North America;11/4/1963
1996019;Male;Aapo Monto;Lexington;KY;Kentucky;40505;United States;North America;10/18/1942
806791;Male;AÑron Blokdijk;Bleiswijk;ZH;Zuid-Holland;;Netherlands;Europe;7/10/1944
1021674;Male;Aaron Booth;MAES-Y-CWMMER;Caerphilly;Caerphilly;;United Kingdom;Europe;10/11/1962
1603055;Male;Aaron Brock;Moundridge;KS;Kansas;67107;United States;North America;8/20/1943
1013352;Male;Aaron Chamberlain;BRANCHILL;Moray;Moray;;United Kingdom;Europe;1/12/1957
1828414;Male;Aaron Collis;Denver;CO;Colorado;80221;United States;North America;1/7/1949
1190713;Male;Aaron Gibbs;PENRHOS;Neath Port Talbot;Neath Port Talbot;;United Kingdom;Europe;9/9/1942
1397652;Male;Aaron Hinnenkamp;Fort Myers;FL;Florida;33901;United States;North America;5/28/1937
1803547;Male;Aaron Hosley;San Antonio;TX;Texas;78209;United States;North America;4/15/1994
935232;Male;Aaron Hughes;WOKEFIELD PARK;Berkshire;Berkshire;;United Kingdom;Europe;4/16/1935
259407;Male;Aaron Johnson;Toronto;ON;Ontario;;Canada;North America;3/6/1971
32037;Male;Aaron Knopwood;LAKE MOKOAN;VIC;Victoria;3673;Australia;Australia;2/14/1989
284346;Male;Aaron Larry;Calgary;AB;Alberta;;Canada;North America;10/10/1952
1706433;Male;Aaron Macdonald;Rindge;NH;New Hampshire;3461;United States;North America;4/24/1952
1501353;Male;Aaron McLean;North Deering;ME;Maine;4103;United States;North America;6/1/1935
1212385;Male;Aaron Mitchell;Midland;TX;Texas;79701;United States;North America;9/4/1998
1536206;Male;Aaron Pettit;Oklahoma City;OK;Oklahoma;73106;United States;North America;12/5/1945
1790611;Male;Aaron Santiago;Nacogdoches;TX;Texas;75964;United States;North America;12/2/1969
68000;Male;Aaron Sasse;CANNING CREEK;QLD;Queensland;4357;Australia;Australia;1/22/1973
814141;Male;AÑron Sitaram;Sliedrecht;ZH;Zuid-Holland;;Netherlands;Europe;9/6/1935
1251726;Male;Aaron Taylor;Winston Salem;NC;North Carolina;27001;United States;North America;11/21/1961
1097307;Male;Aaron Thomas;LOSTOCK GREEN;Cheshire West and Chester;Cheshire West and Chester;;United Kingdom;Europe;10/12/1978
90893;Male;Aaron Trenerry;MOORONG;NSW;New South Wales;2650;Australia;Australia;4/18/1992
1155125;Male;Aaron Tyler;CHILLINGTON;South Hams;South Hams;;United Kingdom;Europe;4/4/1978
176310;Male;Aaron Whitington;NARIEL VALLEY;VIC;Victoria;3707;Australia;Australia;9/5/1944
2007321;Male;Aayan Taylor;Richmond;IN;Indiana;47374;United States;North America;8/4/1952
1958828;Female;Abbey Finch;Wendover;UT;Utah;84083;United States;North America;7/28/2001
8794;Female;Abbey Lempriere;BOULDER CREEK;QLD;Queensland;4714;Australia;Australia;11/2/1962
164607;Female;Abbey Piquet;NEW LAMBTON;NSW;New South Wales;2305;Australia;Australia;8/5/1994
44728;Female;Abbey Remington;DIGGORA;VIC;Victoria;3561;Australia;Australia;3/14/1953
